,destinyDisplayName,memberType,lastOnline,game_active,discordName,member,discord_active
0,hazelwolfie,2.0,2019-06-28 21:43:20-05:00,2.0,[ⅶ] hazelwolfie,[ⅶ] hazelwolfie,True
1,sutherland,2.0,2019-07-01 10:48:47-05:00,0.0,[vii] sutherland,[vii] sutherland,True
2,mara,2.0,2019-06-29 13:36:56-05:00,2.0,[vii] mara,[vii] mara,False
3,aquaeast,2.0,2019-07-01 00:30:53-05:00,0.0,[vii] aquaeast,[vii] aquaeast,True
4,milkshake,2.0,2019-06-30 22:38:09-05:00,0.0,Not found,,
5,johnny5,2.0,2019-07-01 16:43:24-05:00,0.0,Not found,,
6,silentsword,2.0,2019-07-01 16:57:47-05:00,0.0,Not found,,
7,xomb,2.0,2019-06-28 20:27:06-05:00,2.0,Not found,,
8,displaysed,2.0,2019-07-01 17:23:49-05:00,0.0,Not found,,
9,joeliii,2.0,2019-07-01 12:30:50-05:00,0.0,[vii] joeliii,[vii] joeliii,True
10,hiro02,2.0,2019-06-25 04:50:43-05:00,6.0,[vii] hiro02#1671,[vii] hiro02#1671,False
11,erikko,2.0,2019-07-01 14:46:16-05:00,0.0,[vii] erikko,[vii] erikko,True
12,protoix,2.0,2019-07-01 12:22:32-05:00,0.0,[vii] protoix,[vii] protoix,False
13,darin,2.0,2019-06-28 20:32:16-05:00,2.0,[vii] darin#11946,[vii] darin#11946,False
14,kylekailky,2.0,2019-07-01 13:37:01-05:00,0.0,[vii] kylekailky,[vii] kylekailky,False
15,xfctr,2.0,2019-07-01 17:32:53-05:00,0.0,[vii] xfctr,[vii] xfctr,True
16,mytoast,2.0,2019-06-24 21:14:49-05:00,6.0,[vii] mytoast#11230,[vii] mytoast#11230,False
17,itschoco,2.0,2019-06-29 13:45:24-05:00,2.0,[vii] itschoco,[vii] itschoco,False
18,gravl,2.0,2019-07-01 11:12:43-05:00,0.0,[vii] gravl,[vii] gravl,False
19,r3gret,2.0,2019-07-01 16:53:12-05:00,0.0,[ⅶ] r3gret#11222,[ⅶ] r3gret#11222,True
20,ruthlessmike,2.0,2019-07-01 03:24:56-05:00,0.0,[vii] ruthlessmike,[vii] ruthlessmike,True
21,bearfanks,2.0,2019-06-29 15:22:54-05:00,2.0,[vii] bearfanks,[vii] bearfanks,False
22,cricho,2.0,2019-07-01 15:22:39-05:00,0.0,[vii] cricho,[vii] cricho,False
23,ludasludio,2.0,2019-06-28 21:58:10-05:00,2.0,[vii] ludasludio#1337,[vii] ludasludio#1337,False
24,burgerking,2.0,2019-07-01 01:18:03-05:00,0.0,[ⅶ] burgerking,[ⅶ] burgerking,True
25,yattsucc,2.0,2019-06-30 22:13:22-05:00,0.0,[vii] yattsucc#1211,[vii] yattsucc#1211,True
26,fallenrevo13,2.0,2019-06-25 20:53:03-05:00,5.0,[vii] fallenrevo13,[vii] fallenrevo13,False
27,urboi,2.0,2019-07-01 17:22:41-05:00,0.0,[ⅶ] urboi#1698,[ⅶ] urboi#1698,True
28,wonderwoman,2.0,2019-07-01 17:10:25-05:00,0.0,[vii] wonderwoman,[vii] wonderwoman,False
29,noir,2.0,2019-06-17 12:54:44-05:00,14.0,[vii] noir,[vii] noir,False
30,rickaroooo,2.0,2019-06-29 23:30:33-05:00,1.0,[vii] rickaroooo,[vii] rickaroooo,False
31,priestmidian,2.0,2019-07-01 17:06:09-05:00,0.0,[vii] priestmidian,[vii] priestmidian,False
32,vext,2.0,2019-07-01 16:48:55-05:00,0.0,[vii] vext,[vii] vext,True
33,kronos,2.0,2019-07-01 13:34:31-05:00,0.0,[ⅶ] kronos,[ⅶ] kronos,True
34,slushie,2.0,2019-07-01 13:34:06-05:00,0.0,[vii] slushie#11274,[vii] slushie#11274,True
35,fahliel,2.0,2019-06-30 21:04:54-05:00,0.0,[vii] fahliel,[vii] fahliel,True
36,razer,2.0,2019-07-01 16:49:39-05:00,0.0,[ⅶ] razer,[ⅶ] razer,True
37,dunk1npwnuts,2.0,2019-07-01 01:03:27-05:00,0.0,[ⅶ] dunk1npwnuts#1621,[ⅶ] dunk1npwnuts#1621,True
38,swiftdeadly,2.0,2019-06-29 18:19:46-05:00,1.0,[vii] swiftdeadly#1208,[vii] swiftdeadly#1208,False
39,gtsnjamal,2.0,2019-07-01 15:08:48-05:00,0.0,[vii] gtsnjamal,[vii] gtsnjamal,False
40,,5.0,1969-12-31 18:00:00-06:00,18078.0,[vii] gtsnjamal,[vii] gtsnjamal,False
41,harambemain,2.0,2019-07-01 17:42:31-05:00,0.0,[vii] harambemain,[vii] harambemain,False
42,brotendo,2.0,2019-07-01 12:22:29-05:00,0.0,[ⅶ] brotendo#11912,[ⅶ] brotendo#11912,True
43,etleftnut,2.0,2019-06-30 22:40:54-05:00,0.0,[vii] etleftnut,[vii] etleftnut,False
44,lvmars,2.0,2019-06-30 20:04:43-05:00,0.0,[ⅶ] lvmars#1638,[ⅶ] lvmars#1638,True
45,goldenshark,2.0,2019-07-01 14:46:27-05:00,0.0,[ⅶ] goldenshark,[ⅶ] goldenshark,True
46,panduhbear,2.0,2019-07-01 03:48:00-05:00,0.0,[vii] panduhbear#11939,[vii] panduhbear#11939,False
47,reaversmith,2.0,2019-06-30 16:47:52-05:00,1.0,[vii] reaversmith,[vii] reaversmith,False
48,madmerlin,2.0,2019-06-29 15:08:08-05:00,2.0,[vii] madmerlin#11737,[vii] madmerlin#11737,True
49,bliz77,2.0,2019-07-01 13:00:29-05:00,0.0,[vii] bliz77,[vii] bliz77,False
50,turfwar,2.0,2019-06-30 00:04:35-05:00,1.0,[vii] turfwar,[vii] turfwar,True
51,foxhunter,2.0,2019-06-30 23:29:49-05:00,0.0,[vii] foxhunter11775,[vii] foxhunter11775,False
52,bboyawesome,2.0,2019-06-28 15:43:22-05:00,3.0,[ⅶ] bboyawesome,[ⅶ] bboyawesome,True
53,draken224,2.0,2019-06-28 12:31:46-05:00,3.0,[vii] draken224,[vii] draken224,False
54,dgitalninja,2.0,2019-07-01 07:32:07-05:00,0.0,[vii] dgitalninja#1808,[vii] dgitalninja#1808,False
55,dreamach2,2.0,2019-07-01 17:52:10-05:00,0.0,[ⅶ] dreamach2,[ⅶ] dreamach2,True
56,lavender,3.0,2019-07-01 01:55:15-05:00,0.0,[ⅶ] lavender🎵,[ⅶ] lavender🎵,True
57,fader,2.0,2019-06-30 20:52:51-05:00,0.0,[vii] fader,[vii] fader,True
58,zorgon9000,2.0,2019-06-28 18:03:01-05:00,2.0,[vii] zorgon9000,[vii] zorgon9000,False
59,yorlund,2.0,2019-07-01 14:30:08-05:00,0.0,[vii] yorlund,[vii] yorlund,True
60,virdi,2.0,2019-07-01 14:40:53-05:00,0.0,[vii] virdi,[vii] virdi,True
61,yibambe,2.0,2019-07-01 16:09:57-05:00,0.0,[vii] yibambe,[vii] yibambe,True
62,nemein,2.0,2019-07-01 00:40:02-05:00,0.0,[vii] nemein,[vii] nemein,True
63,doctormoist,2.0,2019-06-30 03:07:39-05:00,1.0,[ⅶ] doctormoist#11524,[ⅶ] doctormoist#11524,True
64,levi,2.0,2019-07-01 16:53:41-05:00,0.0,[vii] levi,[vii] levi,False
65,nova,2.0,2019-06-30 22:40:24-05:00,0.0,[vii] nova,[vii] nova,False
66,notth3chesse,2.0,2019-07-01 01:01:20-05:00,0.0,[vii] notth3chesse,[vii] notth3chesse,False
67,garbage,2.0,2019-06-30 23:18:21-05:00,0.0,[vii] garbage,[vii] garbage,False
68,sevenaito,2.0,2019-07-01 05:52:09-05:00,0.0,[vii] sevenaito#1455,[vii] sevenaito#1455,True
69,persepolis,3.0,2019-07-01 13:00:41-05:00,0.0,[ⅶ] persepolis ♥,[ⅶ] persepolis ♥,True
70,sombrero,2.0,2019-06-24 13:19:46-05:00,7.0,[vii] sombrero#11795,[vii] sombrero#11795,False
71,zilla,2.0,2019-07-01 01:35:01-05:00,0.0,[ⅶ] zilla,[ⅶ] zilla,True
72,ryley,2.0,2019-06-28 02:21:47-05:00,3.0,[vii] ryley!,[vii] ryley!,False
73,stinkledink,2.0,2019-06-27 22:56:37-05:00,3.0,[vii] stinkledink,[vii] stinkledink,True
74,hymnbook,2.0,2019-06-28 14:08:04-05:00,3.0,[vii] hymnbook,[vii] hymnbook,False
75,toabgut,2.0,2019-06-23 15:12:24-05:00,8.0,[vii] toabgut#1668,[vii] toabgut#1668,False
76,khaydarin,2.0,2019-07-01 04:04:26-05:00,0.0,[vii] khaydarin#11559,[vii] khaydarin#11559,False
77,lovehurts,2.0,2019-06-30 23:29:35-05:00,0.0,[ⅶ] lovehurts,[ⅶ] lovehurts,True
78,gabriel,2.0,2019-07-01 16:46:55-05:00,0.0,[vii] gabriel,[vii] gabriel,True
