,destinyDisplayName,memberType,game_active,bungie_clan,discordName
0,Detona,2,True,[SIVA],[SIVA] Detona
1,Solum,2,True,[SIVA],[SIVA] Solum#11894
2,Megalodon,2,True,[SIVA],[SIVA] Megalodon
3,OtterChaos,2,True,[SIVA],[SIVA] OtterChaos#11180
4,Zebith,2,True,[SIVA],[SIVA] Zebith#11665
5,KidCloudy,2,True,[SIVA],[SIVA] KidCloudy#1559
6,KEENITH,2,True,[SIVA],[SIVA] Keenith
7,Tarvva,2,True,[SIVA],[SIVA] Tarvva#1773
8,AJ117,2,True,[SIVA],[SIVA] AJ117#1871
9,thedemon480,2,True,[SIVA],[SIVA] thedemon480#1503
10,thegreatjuan,2,True,[SIVA],[SIVA] thegreatjuan#11959
11,ShroudAdmin,5,False,[SIVA],
12,StLouisCards,2,True,[SIVA],[SIVA] StLouisCards#1317
13,Walrus3203,2,True,[SIVA],[SIVA] Walrus3203#1713
14,MSP2008,2,True,[SIVA],[SIVA] MSP2008#1769
15,Foxpool,2,True,[SIVA],[SIVA] Foxpool
16,Leru,2,True,[SIVA],[SIVA] Leru
17,Shintaro,2,True,[SIVA],[SIVA] Shintaro#11467
18,sweetricebal,2,True,[SIVA],[SIVA] Sweetricebal#1771
19,SadoMase,2,True,[SIVA],[SIVA] Sadomase#2673
20,Cani,2,True,[SIVA],[SIVA] Cani
21,VsX,2,True,[SIVA],[SIVA] VsX#11652
22,TheShockAble,2,True,[SIVA],[SIVA] TheShockAble#1270
23,outcast777,2,True,[SIVA],[SIVA] outcast777#11641
24,WindWolf42,2,True,[SIVA],[SIVA] WindWolf42#1621
25,Gulakoth,2,True,[SIVA],
26,ShakenSalo,2,True,[SIVA],[SIVA] ShakenSalo
27,Cody,2,True,[SIVA],[SIVA] Cody
28,ORAORAORAORA,2,True,[SIVA],[SIVA] ORAORAORAORA#11642
29,Detharin,2,True,[SIVA],[SIVA] Detharin#1796
30,Vizra,2,True,[SIVA],[SIVA] Vizra#11850
31,R1CAN,2,True,[SIVA],[SIVA] R1CAN
32,Thunderfoot,2,True,[SIVA],[SIVA] Thunderfoot#1280
33,Enums,2,True,[SIVA],[SIVA/DEVL] Murdekaiser - Enums
34,Ehgreiz,2,True,[SIVA],[SIVA] Ehgreiz
35,Padimus,2,True,[SIVA],[SIVA] Padimus
36,Stonewall827,2,True,[SIVA],[SIVA] stonewall827
37,OmniOne,2,True,[SIVA],[SIVA] OmniOne#1422
38,Kapsize33,2,True,[SIVA],[SIVA] Kapsize33#1254
39,Willinsk,2,True,[SIVA],[SIVA] Willinsk#1922
40,Skynet,2,True,[SIVA],
41,bketchup,2,True,[SIVA],[SIVA] bketchup#1841
42,Katholas,2,True,[SIVA],[SIVA] Katholas#1538
43,BiddyBlah,2,True,[SIVA],[SIVA] BiddyBlah#1272
44,Mortarey,2,True,[SIVA],[SIVA] Mortarey#1921
45,Plodus,2,True,[SIVA],[SIVA] Plodus#1480
46,EnjoyKarma,2,True,[SIVA],[SIVA] enjoykarma#1438
47,Cazzy,2,True,[SIVA],[SIVA] Cazzy#1174
48,HoLee,2,True,[SIVA],[SIVA] HoLee#11762
49,Kraze,2,True,[SIVA],[SIVA] Kraze#11799
50,Turtle,2,True,[SIVA],[SIVA] Turtle#14784
51,ExionFatalis,3,True,[SIVA],[SIVA] Exionfatalis#1438
52,BusySenpaii,2,True,[SIVA],[SIVA] BusySenpaii#1205
53,Void,2,True,[SIVA],[SIVA] Void#13486
54,Young,2,True,[SIVA],[SIVA] Young
55,soulflyr,2,True,[SIVA],[SIVA] soulflyr#1827
56,Novaren,2,True,[SIVA],[SIVA] Novaren#1104
57,DarkelementX,2,True,[SIVA],[SIVA] DarkelementX#11562
58,toxicmelon,2,True,[SIVA],[SIVA] toxicmelon
59,LeV,2,True,[SIVA],[SIVA] LeV#11391
60,Piddle,2,True,[SIVA],[SIVA] Piddle#1814
61,Stickysun9,2,True,[SIVA],[SIVA] Stickysun9
62,DarkRaven,2,True,[SIVA],[SIVA] DarkRaven72
63,jasonx3,2,True,[SIVA],[SIVA] jasonx3#11302
64,RyzenG0d,2,True,[SIVA],[SIVA] RyzenG0d
65,mindbust,2,True,[SIVA],[SIVA] Mindbust#1691
66,Gbean54,2,True,[SIVA],[SIVA] Gbean54#1135
67,SH13LD,2,True,[SIVA],[SIVA] SH13LD11505
68,Jorsub,2,True,[SIVA],[SIVA] Jorsub
69,SirRandomGuy,2,True,[SIVA],[SIVA] SirRandomGuy#11119
70,SuprJman,2,True,[SIVA],[SIVA] SuprJman#1575
71,Nond,2,True,[SIVA],[SIVA] Nond#11309
72,ProjectNeo,2,True,[SIVA],[SIVA] ProjectNeo#1560
73,deadlyzebra,2,True,[SIVA],[SIVA] deadlyzebra#1845
74,Docwyrick17,2,False,[SIVA],[SIVA] docwyrick17#1611
75,Hat,2,True,[SIVA],[SIVA] Hat#11185
