member,platform,chars,lastPlayed days ago,Triumph Score,Weekly XP,max LL,Weekly Reckoning Challenge,Weekly Reckoning Challenge%,Weekly Gambit Prime Challenge,Weekly Gambit Prime Challenge%,Recipe for Success ,Recipe for Success %,Clan Rewards ,Clan Rewards %,Weekly Score Challenge,Weekly Score Challenge%,Weekly Nightfall Challenge,Weekly Nightfall Challenge%,Daily Crucible Challenge,Daily Crucible Challenge%,Daily Gambit Challenge,Daily Gambit Challenge%,Daily Vanguard Strike,Daily Vanguard Strike%,FLASHPOINT: IO ,FLASHPOINT: IO %,Guardian of All ,Guardian of All %,Heroic Adventures,Heroic Adventures%,Heroic Story Mission,Heroic Story Mission%,Weekly Crucible Challenge,Weekly Crucible Challenge%,Weekly Gambit Challenge,Weekly Gambit Challenge%,Weekly Strike Challenge,Weekly Strike Challenge%,Scourge of the Past ,Scourge of the Past %,Spring Comes to Eververse ,Spring Comes to Eververse %,The Lost Cryptarch ,The Lost Cryptarch %,The Revelry Begins ,The Revelry Begins %,Last Wish Raid,Last Wish Raid%,
AyePekkz,BNET,2,0,22600,639202,674,0,0,0,0.5,0,0,1,0.5,0,0,0,0,1,0.5,1,0.5,1,0.5,1,0.5,1,1,0,0,0,0,1,0.5,1,1,1,1,0,0,1,1,1,1,1,1,0,0,
Bliz77,BNET,3,0,31350,797761,700,0,0,1,1,0,0.5,1,0.3333333333333333,0,0,0,0,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,0,0,1,1,0,0,0,0,1,0.3333333333333333,0,0.3333333333333333,1,1,0,0,1,1,1,1,1,1,1,1,
Bobodaklown,BNET,3,1,34250,239376,700,0,0,0,0,3,1,0,0.19999999999999998,0,0,0,0,0,0,0,0,1,0.3333333333333333,1,0.3333333333333333,0,0.3,0,0,0,0,0,0,0,0,1,0.3333333333333333,0,0,3,1,3,1,3,1,0,0,
Brotendo,BNET,3,0,61600,968051,700,1,0.65,0,0,0,0,0,0.6966666666666667,0,0,0,0,0,0,0,0,1,0.3333333333333333,1,0.4666666666666666,0,0.11666666666666665,0,0,0,0,0,0,0,0,1,0.3333333333333333,1,0.3333333333333333,3,1,3,1,3,1,0,0,
DreamACH2,BNET,3,0,51950,1492672,700,0,0,1,0.3333333333333333,0,0,0,0.5166666666666666,0,0,0,0,1,0.3333333333333333,0,0,3,1,0,0.15,2,0.8166666666666668,0,0,0,0,1,0.6666666666666666,0,0,1,0.5555555555555555,1,0.3333333333333333,3,1,3,1,3,1,2,0.6666666666666666,
KooladeMan,BNET,3,0,44550,731609,700,1,1,1,1,0,0,1,0.3333333333333333,0,0,0,0,0,0,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,
garbage,BNET,3,0,35550,843548,700,0,0,0,0,2,0.6666666666666666,1,0.5,0,0,0,0,1,0.3333333333333333,0,0,0,0,0,0.15,1,0.8666666666666667,0,0,0,0,2,0.6666666666666666,0,0,0,0,0,0,3,1,3,1,3,1,0,0,
BurgerKing,BNET,3,0,61250,868646,700,1,0.3333333333333333,1,0.3333333333333333,2,0.6666666666666666,1,0.3333333333333333,0,0,1,0.3333333333333333,1,0.3333333333333333,0,0,1,0.3333333333333333,0,0.31666666666666665,1,0.3333333333333333,0,0,0,0,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,3,1,3,1,3,1,0,0,
DgitalNinja,BNET,3,2,60550,0,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,1,3,1,0,0,
DoctorMoist,BNET,2,0,47400,860393,700,1,0.5,1,0.5,2,1,1,0.5,0,0,0,0,0,0,1,0.5,0,0,1,0.5,1,0.6,0,0,0,0,0,0,0,0.3333333333333333,0,0.16666666666666666,1,0.8333333333333333,2,1,2,1,2,1,1,0.5,
Draken224,BNET,3,0,0,216014,640,0,0,0,0,1,1,0,0.41,0,0,0,0,0,0,0,0,1,0.5,0,0.025,0,0.45,0,0,0,0,0,0.4,0,0.6666666666666666,0,0,0,0,1,1,1,1,1,1,0,0,
ETLeftNut,BNET,3,0,24700,959364,667,0,0.15,1,1,1,1,1,0.5,1,1,1,1,1,0.5,1,0.5,1,0.5,1,0.5,1,1,0,0,1,1,1,0.5,1,1,1,1,1,0.3333333333333333,1,1,1,1,1,1,1,1,
Fahliel,BNET,3,0,28050,253283,700,0,0,0,0,0,0,0,0.21666666666666667,0,0,0,0,0,0,1,0.3333333333333333,1,0.3333333333333333,0,0.03333333333333333,0,0.65,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,
FallenRevo13,BNET,3,2,3200,242862,675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3333333333333333,0,0,0,0.15,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,
Foxhunter,BNET,2,1,20400,402138,631,0,0,0,0.375,2,1,1,0.5,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0.44999999999999996,0,0,0,0,1,0.5,1,0.5,0,0,0,0,2,1,2,1,2,1,0,0,
