,member,Status
49,Persepolis,x
33,Lavender,x
84,dunk1npwnuts,x
79,aquaeast,x
0,AyePekkz,x
80,bboyawesome,x
1,Bliz77,x
2,Bobodaklown,x
3,Brotendo,x
7,BurgerKing,x
81,chewy104,x
82,cricho,x
83,darin,x
8,DgitalNinja,x
9,DoctorMoist,x
10,Draken224,x
4,DreamACH2,x
11,ETLeftNut,x
12,Fahliel,x
13,FallenRevo13,x
14,Foxhunter,x
16,Gabriel,x
6,garbage,x
17,GoldenShark,x
18,Gravl,x
15,GTSNJamal,x
19,HarambeMain,x
20,HazelWolfie,x
21,Hero,x
85,hssong23,x
22,HymnBook,x
23,ItsChoco,x
25,JayteK,x
24,JCastro,x
26,Jmy,x
27,Joeliii,x
28,Khaydarin,x
29,Kiwi,x
5,KooladeMan,x
30,Kronos,x
31,KyleKailKy,x
34,Levi,x
32,LOKOSTWIN,x
86,lovehurts,x
35,LudasLudio,x
36,Lvmars,x
37,MadMerlin,x
38,Mara,x
87,maxnmike,x
41,Mydniite,x
40,MyToast,x
43,NoiR,x
45,NotTh3Chesse,x
46,Nova,x
48,PanduhBear,x
47,PLOGPLAST,x
50,PriestMidian,x
51,R3gRet,x
52,Razer,x
53,Realirony,x
54,ReaverSmith,x
88,rgbmom,x
55,RuthlessMike,x
56,Ryley,x
58,Sackomatic10,x
59,ShortWing,x
62,Sombrero,x
57,SOVIETSLOTH,x
63,Steeliest,x
64,StinkleDink,x
65,SwiftDeadly,x
66,TheAgitator,x
67,Theorem,x
68,Timtamslam,x
69,Toabgut,x
70,TudorBoss,x
89,turfwar,x
71,UrBoi,x
72,VendettaX05,x
73,Vengeance666,x
91,xfctr,x
74,XxDead7sxX,x
90,xXTacocaTXx,x
92,yattsucc,x
75,YIBAMBE,x
77,Zach,x
76,ZILLA,x
39,Matheus,
42,NeonDolphin,
44,NotAToilet,
60,SilentGamer,
61,SirBananaz,
78,Zorgon9000,
